Date,Open,High,Low,Close,Adj Close,Volume
04/02/2019,7.96,7.98,7.74,7.85,7.85,8585300
05/02/2019,7.71,7.96,7.61,7.88,7.88,9029900
06/02/2019,7.95,8.59,7.83,8.4,8.4,33404700
07/02/2019,8.28,8.37,7.8,8.04,8.04,23198200
08/02/2019,8,8,7.28,7.67,7.67,21709300
11/02/2019,7.67,7.77,7.38,7.46,7.46,9750700
12/02/2019,7.35,7.57,7.14,7.44,7.44,13264100
13/02/2019,7.52,7.68,7.39,7.49,7.49,10867800
14/02/2019,7.7,7.78,7.42,7.48,7.48,14728300
15/02/2019,7.55,7.64,7.26,7.41,7.41,15620200
19/02/2019,7.4,7.43,7.21,7.26,7.26,9974700
20/02/2019,7.26,7.77,7.26,7.62,7.62,21495700
21/02/2019,7.7,7.73,7.43,7.64,7.64,8060100
22/02/2019,7.92,8.22,7.75,8.17,8.17,26600400
25/02/2019,9.04,9.09,8.6,9,9,52424200
26/02/2019,9.16,10.64,8.82,9.79,9.79,106022600
27/02/2019,10.15,10.25,9.33,9.85,9.85,53234300
28/02/2019,9.85,9.93,9.46,9.57,9.57,26506000
01/03/2019,9.82,10.2,9.73,10.06,10.06,32409400
04/03/2019,10.32,10.37,9.15,9.78,9.78,43753300
05/03/2019,9.8,10.63,9.7,10.16,10.16,53680800
06/03/2019,8.26,8.72,8,8.01,8.01,73522700
07/03/2019,7.81,7.95,7,7.09,7.09,52469600
08/03/2019,7.02,7.2,6.85,7.06,7.06,32040600
11/03/2019,6.95,6.98,6.55,6.59,6.59,62544500
12/03/2019,6.62,6.64,6.37,6.39,6.39,41616000
13/03/2019,6.32,6.77,6.24,6.53,6.53,41727200
14/03/2019,6.63,6.64,6,6.03,6.03,58983400
15/03/2019,6.12,6.13,5.71,5.71,5.71,85777000
18/03/2019,5.69,5.95,5.44,5.75,5.75,76506100
19/03/2019,5.75,6.03,5.73,5.96,5.96,54509200
20/03/2019,6.02,6.03,5.71,5.85,5.85,39053700
21/03/2019,5.75,5.95,5.74,5.84,5.84,21368900
22/03/2019,5.8,5.87,5.6,5.62,5.62,24956500
25/03/2019,5.62,5.66,5.27,5.35,5.35,38993300
26/03/2019,5.2,5.22,4.9,4.96,4.96,67206300
27/03/2019,5.01,5.19,4.96,4.98,4.98,39753400
28/03/2019,5.04,5.17,4.93,5.01,5.01,29458100
29/03/2019,5.06,5.13,5.03,5.1,5.1,23595900
01/04/2019,5.29,5.4,5.14,5.21,5.21,32404600
02/04/2019,5.43,5.61,5.35,5.39,5.39,55814800
03/04/2019,5.55,5.58,5.23,5.31,5.31,35320200
04/04/2019,5.39,5.5,5.27,5.35,5.35,31696600
